"NGRIP_depth.m" "delta_O18.permil" "GICC05_age.yb2k" "GICC05_MCE.yr"
"1" 1492.45 -39.91 11703.1 99
"2" 1492.5 -37.45 11704.4 99
"3" 1492.55 -37.27 11705.9 99
"4" 1492.6 -39 11707.1 99
"5" 1492.65 -40.68 11708.7 99
"6" 1492.7 -40.33 11710.4 99
"7" 1492.75 -40.63 11712.2 99
"8" 1492.8 -40.21 11714.5 99
"9" 1492.85 -39.82 11716.1 99
"10" 1492.9 -39.5 11718 99
"11" 1492.95 -39.66 11720.3 99
"12" 1493 -41.03 11722.3 99
"13" 1493.05 -42.7 11723.8 99
"14" 1493.1 -41.41 11724.8 99
"15" 1493.15 -40.52 11726 99
"16" 1493.2 -41.06 11728.2 99
"17" 1493.25 -39.19 11729.2 99
"18" 1493.3 -36.27 11730.4 99.4
"19" 1493.35 -36.19 11731.7 100
"20" 1493.4 -40.44 11733.3 100
"21" 1493.45 -40.07 11734.6 100
"22" 1493.5 -37.69 11736.9 100
"23" 1493.55 -37.47 11738.3 100
"24" 1493.6 -40.69 11739.6 100
"25" 1493.65 -43.58 11740.7 100
"26" 1493.7 -43.65 11742.5 100
"27" 1493.75 -42.85 11744.7 100
"28" 1493.8 -42.55 11746.3 100
"29" 1493.85 -37.87 11747.5 100
"30" 1493.9 -39.33 11749.1 100
"31" 1493.95 -41.26 11750.6 100
"32" 1494 -41.1 11752.3 100
"33" 1494.05 -42.75 11753.7 100
"34" 1494.1 -41.77 11755.1 100
"35" 1494.15 -39.99 11756.4 100
"36" 1494.2 -38.06 11758.1 100
"37" 1494.25 -37.51 11759.6 100
"38" 1494.3 -40.73 11761.5 100.5
"39" 1494.35 -41.93 11762.8 101
"40" 1494.4 -42.86 11764.4 101
"41" 1494.45 -42.09 11765.9 101
"42" 1494.5 -38.91 11767.3 101
"43" 1494.55 -38.48 11769.1 101
"44" 1494.6 -41.3 11770.9 101
"45" 1494.65 -41.25 11772.9 101
"46" 1494.7 -40.5 11774.3 101
"47" 1494.75 -39.13 11775.9 101
"48" 1494.8 -39.57 11778.2 101
"49" 1494.85 -39.88 11780.2 101
"50" 1494.9 -39.27 11781.8 101
"51" 1494.95 -39.53 11783.7 101
"52" 1495 -38.08 11785.5 101
"53" 1495.05 -37.15 11786.8 101
"54" 1495.1 -39.34 11788.1 101
"55" 1495.15 -41.7 11790 101
"56" 1495.2 -40.96 11792 101
"57" 1495.25 -40.24 11794.1 102
"58" 1495.3 -40.39 11795.5 102
"59" 1495.35 -40.8 11797 102
"60" 1495.4 -40.33 11798.8 102
"61" 1495.45 -41.07 11800.5 102
"62" 1495.5 -42.01 11802.2 102
"63" 1495.55 -40 11803.2 102
"64" 1495.6 -38.23 11804.5 102
"65" 1495.65 -38.55 11805.9 102
"66" 1495.7 -41.78 11807.6 102
"67" 1495.75 -42.56 11809.4 102
"68" 1495.8 -41.54 11811.5 102
"69" 1495.85 -41.17 11813.5 102
"70" 1495.9 -39.98 11815.1 102
"71" 1495.95 -40.03 11816.8 102
"72" 1496 -39.2 11818.6 102
